GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "48039","Brazoria, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",7752320,7588737,7496791,7649655,8131559,9174707,9946737,10016645,9935646,11533400,12518159,13637114,14961926,15181380,15926305,16090108,15825350,17093358,16812083,16490554
 "48041","Brazos, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5344624,5499923,5774085,5991649,6250929,6591942,6740258,6817521,7257437,7381623,7357999,7718806,8154730,8560762,8902326,8963449,9124809,9502826,9739560,9620229
 "48041","Brazos, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",69.242,71.254,74.805,77.624,80.983,85.401,87.323,88.324,94.023,95.632,95.326,100.000,105.648,110.908,115.333,116.125,118.215,123.113,126.180,124.634
 "48041","Brazos, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4031127,4214751,4601405,4940334,5382163,5848320,6176351,6477965,6842953,7114644,7234360,7718806,8386207,8957180,8988203,9114726,9502055,10170325,10557363,10544002
 "48043","Brewster, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",320134,322369,358103,367343,347922,354587,318569,315545,327135,341962,338591,334677,343144,345829,340979,332920,332492,356924,368162,369787
 "48043","Brewster, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.655,96.322,107.000,109.761,103.958,105.949,95.187,94.284,97.746,102.177,101.170,100.000,102.530,103.332,101.883,99.475,99.347,106.647,110.005,110.491
 "48043","Brewster, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",244951,252281,286278,302719,295789,312320,291397,294602,310960,329155,331582,334677,350993,359141,358273,354320,359781,396026,418743,427525
 "48045","Briscoe, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",53313,54586,57968,50378,61171,50132,60124,39794,60745,72425,43310,36765,61667,37242,60032,86645,96724,105058,104986,95319
 "48045","Briscoe, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",145.008,148.472,157.670,137.025,166.383,136.357,163.534,108.237,165.224,196.993,117.802,100.000,167.730,101.295,163.283,235.668,263.084,285.753,285.556,259.261
 "48045","Briscoe, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",35593,35685,40216,38216,44453,37035,50389,33779,49747,63810,42420,36765,63145,37727,62018,88342,100571,110716,112351,100954
 "48047","Brooks, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",939800,1615775,1209066,994588,908907,796766,725258,590596,609313,448708,411301,380304,372093,441625,413529,348414,368686,352634,342481,330654
 "48047","Brooks, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",247.118,424.864,317.920,261.524,238.994,209.507,190.705,155.296,160.217,117.987,108.151,100.000,97.841,116.124,108.736,91.614,96.945,92.724,90.054,86.945
 "48047","Brooks, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",445019,643911,730223,714383,864276,767923,743518,783930,488354,438763,439657,380304,386758,454774,317352,256067,295495,301165,282467,260163
 "48049","Brown, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1109295,1156379,1186588,1262189,1317108,1285673,1226635,1202386,1217201,1209786,1203454,1160138,1168830,1212004,1251479,1262064,1308890,1316704,1316807,1293877
 "48049","Brown, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.618,99.676,102.280,108.796,113.530,110.821,105.732,103.642,104.919,104.279,103.734,100.000,100.749,104.471,107.873,108.786,112.822,113.495,113.504,111.528
 "48049","Brown, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",853937,904448,942641,1035262,1128592,1161630,1140797,1142301,1152788,1171546,1187189,1160138,1195748,1265561,1332053,1366433,1440072,1481939,1516699,1519840
 "48051","Burleson, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",678471,735917,627063,586618,590417,627454,614061,630491,659747,654342,709965,705390,703954,886674,1134882,1089494,1282825,1551554,1705424,1495260
 "48051","Burleson, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.184,104.328,88.896,83.162,83.701,88.951,87.053,89.382,93.529,92.763,100.649,100.000,99.796,125.700,160.887,154.453,181.860,219.957,241.770,211.976
 "48051","Burleson, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",418084,416717,443398,464272,548999,596690,616281,755001,560466,637186,741668,705390,734970,921732,797279,713054,980057,1368546,1267401,827188
 "48053","Burnet, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",857960,911069,939548,1018603,1045093,1135243,1155590,1187231,1144288,1164357,1171006,1227453,1239455,1314907,1315365,1336646,1396173,1437725,1509642,1530796
 "48053","Burnet, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",69.898,74.224,76.544,82.985,85.143,92.488,94.145,96.723,93.225,94.860,95.401,100.000,100.978,107.125,107.162,108.896,113.745,117.131,122.990,124.713
 "48053","Burnet, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",650118,706986,745098,833134,885876,1000456,1050729,1102219,1083637,1113038,1141933,1227453,1266377,1374883,1410883,1458727,1554083,1638580,1766657,1834245
 "48055","Caldwell, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",483511,524594,532371,541372,553865,575237,584089,603809,676330,722905,865006,936650,925574,887729,851863,818376,853827,907246,912817,924603
 "48055","Caldwell, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",51.621,56.007,56.838,57.799,59.133,61.414,62.359,64.465,72.207,77.180,92.351,100.000,98.818,94.777,90.948,87.373,91.157,96.861,97.456,98.714
 "48055","Caldwell, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",360331,393762,425191,452617,494674,530458,558952,623434,625341,707588,880132,936650,960918,932867,826890,797931,864625,952491,968298,980201
 "48057","Calhoun, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1865022,1916877,1651212,2733153,2750863,3437171,1927923,1899016,1844864,2080548,2034110,1935159,3167015,2504048,2259407,2363204,2768384,3370892,3458801,3308408
 "48057","Calhoun, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.376,99.055,85.327,141.237,142.152,177.617,99.626,98.132,95.334,107.513,105.113,100.000,163.657,129.398,116.756,122.119,143.057,174.192,178.735,170.963
 "48057","Calhoun, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1145449,1162342,1049495,1879770,2045221,2830277,1634588,1734675,1633374,1892669,1984532,1935159,3116156,2548149,2238842,2322176,2828592,3575675,3685937,3482273
 "48059","Callahan, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",210351,224051,215085,205242,205844,218979,230446,247616,265203,243449,248862,256012,253197,253903,241482,241208,257316,290508,294710,294010
 "48059","Callahan, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.164,87.516,84.014,80.169,80.404,85.534,90.014,96.720,103.590,95.093,97.207,100.000,98.900,99.176,94.324,94.217,100.509,113.474,115.115,114.842
 "48059","Callahan, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",152348,163146,167102,168453,179983,198355,217612,250393,244022,235128,248443,256012,261033,265920,247137,249046,272121,315605,326176,332818
 "48061","Cameron, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",7386716,7747059,7869778,7991176,8189873,8625583,8565825,8624999,8598106,8974013,9232080,9327236,9440373,9442835,9454224,9689054,9679631,9839678,10117293,10077503
 "48061","Cameron, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.195,83.058,84.374,85.676,87.806,92.477,91.837,92.471,92.183,96.213,98.980,100.000,101.213,101.239,101.361,103.879,103.778,105.494,108.470,108.044
 "48061","Cameron, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",5652584,6055465,6285677,6572939,6916380,7506479,7737793,7949330,8130730,8597713,9003752,9327236,9654290,9859129,10129884,10544649,10677944,11078401,11675336,11942967
 "48063","Camp, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",309785,335247,318130,319697,312503,307102,302773,327144,339494,373009,340187,351233,367396,359276,410574,360704,348146,348136,320178,333732
 "48063","Camp, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",88.199,95.448,90.575,91.021,88.973,87.435,86.203,93.141,96.658,106.200,96.855,100.000,104.602,102.290,116.895,102.696,99.121,99.118,91.158,95.017
 "48063","Camp, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",226826,241107,245959,263728,264564,268506,276259,315621,312667,356656,337169,351233,377269,375152,415313,362057,360197,369950,349329,369345
 "48065","Carson, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",843893,850327,820231,798580,824777,812443,875615,772160,715358,770830,751658,732769,723715,746583,819810,901137,968991,986988,1030687,955220
 "48065","Carson, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",115.165,116.043,111.936,108.981,112.556,110.873,119.494,105.376,97.624,105.194,102.578,100.000,98.764,101.885,111.878,122.977,132.237,134.693,140.656,130.357
 "48065","Carson, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",565030,541235,585239,611538,708761,701672,789434,778621,669937,733023,743389,732769,751648,773100,816856,890897,958867,998386,1076703,1001675
 "48067","Cass, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",857179,796648,695439,717606,715825,733416,727894,674323,678709,699622,701583,699844,725319,707318,692721,687811,738273,788018,814241,810664
 "48067","Cass, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",122.482,113.832,99.371,102.538,102.283,104.797,104.008,96.353,96.980,99.968,100.249,100.000,103.640,101.068,98.982,98.281,105.491,112.599,116.346,115.835
 "48067","Cass, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",646190,594912,544399,585243,607731,642272,664076,642839,640180,680853,695736,699844,750458,740800,714030,710956,784818,858987,896091,886997
 "48069","Castro, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",398985,501729,559550,470029,593645,605637,544989,549577,433041,695283,697698,561043,455980,748236,890988,858406,919166,826892,787190,735191
